Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
678,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,First,22.32,1582.0,126.32,5.0,,1,0,0,0,1
679,Maruti Ciaz VDI SHVS,Kochi,2017,41217,First,28.09,1248.0,88.5,5.0,,1,0,0,0,1
680,Ford Ikon 1.3 Flair,Pune,2006,98293,Second,13.8,1299.0,88.8,5.0,,0,0,1,0,1
681,Volkswagen Polo 1.2 MPI Highline,Pune,2017,54000,Second,16.2,1199.0,88.8,5.0,,0,0,1,0,1
682,Honda Jazz 1.2 V i VTEC,Chennai,2016,17377,First,18.7,1199.0,88.7,5.0,,0,0,1,0,1
683,Honda Amaze EX i-Dtech,Bangalore,2013,33800,Second,25.8,1498.0,98.6,5.0,,1,0,0,0,1
684,Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,First,22.54,1396.0,88.73,5.0,,1,0,0,0,1
685,Maruti Ritz VDi,Hyderabad,2012,146824,First,21.1,1248.0,73.9,5.0,,1,0,0,0,1
686,Honda City V MT,Chennai,2014,55000,First,16.8,1497.0,116.3,5.0,,0,0,1,0,1
687,Skoda Superb 1.8 TSI MT,Hyderabad,2010,53293,First,13.14,1798.0,88.8,5.0,,0,0,1,0,1
688,Maruti Vitara Brezza LDi Option,Pune,2017,38000,First,24.3,1248.0,88.5,5.0,,1,0,0,0,1
689,Hyundai i20 Asta,Bangalore,2009,64000,Second,17.0,1197.0,88.8,5.0,,0,0,1,0,1
690,Maruti Alto K10 VXI AGS,Hyderabad,2017,25058,First,24.07,998.0,67.1,5.0,,0,0,1,1,0
691,Hyundai EON Era Plus,Kochi,2016,36700,First,21.1,814.0,55.2,5.0,,0,0,1,0,1
692,Hyundai i10 Sportz,Mumbai,2011,35000,First,20.36,1197.0,78.9,5.0,,0,0,1,0,1
693,Mercedes-Benz SLK-Class SLK 350,Coimbatore,2016,22732,First,18.1,3498.0,88.8,2.0,,0,0,1,1,0
694,Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,First,18.53,1968.0,187.74,5.0,,1,0,0,1,0
695,Ford EcoSport 1.5 TDCi Titanium,Bangalore,2013,62084,First,22.77,1498.0,98.59,5.0,,1,0,0,0,1
696,Volkswagen Passat Highline DSG,Kolkata,2012,39273,First,14.3,1968.0,88.8,5.0,,1,0,0,1,0
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,13.68,2393.0,147.8,7.0,26.45,1,0,0,0,1
698,Ford Figo Diesel ZXI,Jaipur,2010,100002,Third,20.0,1399.0,88.8,5.0,,1,0,0,0,1
699,Chevrolet Aveo 1.4,Pune,2006,78000,Third,14.49,1399.0,92.7,5.0,,0,0,1,0,1
700,Maruti Ritz LXi,Coimbatore,2013,57717,First,18.5,1197.0,85.8,5.0,,0,0,1,0,1
701,Land Rover Freelander 2 SE,Chennai,2011,109000,First,12.39,2179.0,147.51,5.0,,1,0,0,1,0
702,Hyundai Grand i10 Asta,Coimbatore,2017,74515,First,18.9,1197.0,88.8,5.0,,0,0,1,0,1
703,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2017,50484,First,10.91,3198.0,197.2,7.0,,1,0,0,1,0
704,Audi Q5 2008-2012 2.0 TDI,Kochi,2013,13452,First,12.8,1968.0,167.6,5.0,,1,0,0,1,0
705,Hyundai Verna 1.6 VTVT,Kochi,2017,37688,First,17.01,1591.0,121.3,5.0,,0,0,1,0,1
706,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,2017,34000,First,13.0,2143.0,88.8,5.0,,1,0,0,1,0
707,Mercedes-Benz M-Class ML 350 4Matic,Pune,2014,120000,First,0.0,2987.0,88.8,5.0,,1,0,0,1,0
708,Maruti Swift Dzire ZXi,Pune,2008,64000,Second,17.5,1298.0,85.8,5.0,,0,0,1,0,1
709,Honda City 1.3 EXI S,Delhi,2011,100000,First,13.0,1343.0,88.8,5.0,,0,0,1,0,1
710,Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,First,20.46,1461.0,83.8,5.0,,1,0,0,0,1
711,Mercedes-Benz New C-Class 220 CDI AT,Hyderabad,2012,86000,First,14.84,2143.0,88.8,5.0,,1,0,0,1,0
712,BMW X5 xDrive 30d Design Pure Experience 5 Seater,Hyderabad,2015,69000,First,15.97,2993.0,88.8,5.0,,1,0,0,1,0
713,Hyundai Xcent 1.2 Kappa SX Option,Kochi,2015,41721,First,19.1,1197.0,88.8,5.0,,0,0,1,0,1
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,First,22.0,1197.0,81.8,5.0,10.34,0,0,1,1,0
715,BMW 3 Series 320d Corporate Edition,Kolkata,2013,38998,First,16.07,1995.0,88.8,4.0,,1,0,0,1,0
716,Maruti Alto 800 LXI,Kochi,2017,54250,First,22.74,796.0,47.3,5.0,,0,0,1,0,1
717,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2013,45979,Second,17.11,1968.0,174.33,5.0,,1,0,0,1,0
718,Mini Cooper S,Pune,2012,37000,Second,13.6,1598.0,88.8,4.0,,0,0,1,1,0
719,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,46983,Second,12.07,2967.0,241.4,7.0,,1,0,0,1,0
720,Chevrolet Beat Diesel LT,Bangalore,2012,40700,First,25.44,936.0,57.6,5.0,,1,0,0,0,1
721,Maruti Wagon R LXI BS IV,Kochi,2015,43828,First,20.51,998.0,67.04,5.0,,0,0,1,0,1
722,Nissan Terrano XV Premium 110 PS,Kolkata,2016,53000,First,19.01,1461.0,108.5,5.0,,1,0,0,0,1
723,BMW 3 Series 320d Luxury Plus,Ahmedabad,2015,100000,First,18.88,1995.0,88.8,5.0,,1,0,0,1,0
724,Maruti Swift Dzire VXI,Mumbai,2015,19000,First,20.85,1197.0,83.14,5.0,,0,0,1,0,1
725,Skoda Yeti Elegance 4X2,Jaipur,2016,84000,First,17.72,1968.0,108.5,5.0,,1,0,0,0,1
726,Ford EcoSport 1.5 Ti VCT AT Titanium,Kochi,2018,37630,First,15.63,1499.0,110.4,5.0,,0,0,1,1,0
727,Hyundai i20 1.2 Magna,Chennai,2010,67714,First,18.5,1197.0,88.8,5.0,,0,0,1,0,1
728,Maruti S Cross DDiS 200 Sigma Option,Pune,2017,32000,First,15.0,1248.0,88.5,5.0,,1,0,0,0,1
729,Hyundai Verna Transform VTVT,Pune,2010,51000,First,16.2,1599.0,103.2,5.0,,0,0,1,0,1
730,BMW 3 Series 320d Luxury Line,Kochi,2015,58390,First,18.88,1995.0,88.8,5.0,,1,0,0,1,0
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,24.0,1186.0,73.97,5.0,7.46,1,0,0,0,1
732,Honda City i-VTEC V,Delhi,2014,55818,Second,17.4,1497.0,117.3,5.0,11.85,0,0,1,0,1
733,Maruti Swift 1.3 VXi,Chennai,2006,97800,Third,16.1,1497.0,88.8,5.0,,0,0,1,0,1
734,Maruti Swift VDI BSIV,Kolkata,2012,52241,First,25.2,1248.0,88.8,5.0,,1,0,0,0,1
735,Maruti Baleno Zeta 1.3,Coimbatore,2018,25433,First,27.39,1248.0,88.8,5.0,,1,0,0,0,1
736,Tata Safari Storme 2012-2015 LX,Kochi,2015,40611,First,14.0,2179.0,138.1,7.0,,1,0,0,0,1
737,Hyundai Accent GLS,Bangalore,2008,72000,Second,13.2,1495.0,88.8,5.0,,0,0,1,0,1
738,Maruti Swift LDI SP Limited Edition,Hyderabad,2016,54631,First,25.2,1248.0,88.8,5.0,,1,0,0,0,1
740,Tata Nano XTA,Coimbatore,2016,24941,First,21.9,624.0,37.48,4.0,,0,0,1,1,0
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,First,25.47,1248.0,88.5,7.0,10.41,1,0,0,0,1
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Second,23.1,998.0,67.04,5.0,5.57,0,0,1,1,0
743,Maruti Swift VDI BSIV,Delhi,2015,63000,First,25.2,1248.0,88.8,5.0,,1,0,0,0,1
744,Volkswagen Vento Petrol Highline,Kochi,2012,121377,First,15.04,1598.0,103.6,5.0,,0,0,1,0,1
745,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Chennai,2009,100970,First,15.5,1896.0,88.8,5.0,,1,0,0,1,0
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,20.7,1496.0,113.98,5.0,42.48,1,0,0,1,0
747,Tata Indica V2 DLS,Chennai,2008,77650,First,17.2,1396.0,53.5,5.0,,1,0,0,0,1
749,Land Rover Range Rover 3.0 D,Mumbai,2008,55001,Second,0.0,1497.0,88.8,5.0,,1,0,0,1,0
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,18.0,1497.0,117.3,5.0,16.04,0,0,1,1,0
751,Jaguar XF 2.2 Litre Luxury,Coimbatore,2016,47877,First,16.36,2179.0,187.7,5.0,,1,0,0,1,0
752,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,2017,43368,First,15.0,2143.0,88.8,5.0,,1,0,0,1,0
753,Chevrolet Cruze LTZ,Chennai,2011,73000,Third,18.3,1991.0,147.9,5.0,,1,0,0,0,1
754,Mahindra XUV500 W8 2WD,Ahmedabad,2015,72007,First,15.1,2179.0,88.8,7.0,,1,0,0,0,1
755,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,2014,56778,First,11.74,1796.0,88.8,5.0,,0,0,1,1,0
756,Honda Jazz VX,Kochi,2018,20024,First,18.2,1199.0,88.7,5.0,9.1,0,0,1,0,1
757,Toyota Etios G,Kolkata,2013,42103,First,16.78,1496.0,88.73,5.0,,0,0,1,0,1
758,Maruti Alto LXi BSIII,Hyderabad,2012,67147,First,19.7,796.0,46.3,5.0,,0,0,1,0,1
759,Maruti Swift VXI BSIV,Coimbatore,2016,37806,First,20.4,1197.0,81.8,5.0,,0,0,1,0,1
760,Maruti A-Star Vxi,Pune,2009,85000,Third,19.0,998.0,66.1,5.0,,0,0,1,0,1
761,Tata Nano Lx BSIV,Chennai,2011,35000,First,25.4,624.0,37.48,4.0,,0,0,1,0,1
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,First,25.5,1498.0,88.8,5.0,7.65,1,0,0,0,1
763,Fiat Linea Emotion,Jaipur,2011,48500,First,16.0,1368.0,88.8,5.0,,0,0,1,0,1
764,Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,2017,28854,First,18.16,1196.0,86.8,5.0,,0,0,1,0,1
765,Maruti Baleno LXI,Hyderabad,2005,92450,First,15.4,1590.0,88.8,5.0,,0,0,1,0,1
766,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,First,18.88,1995.0,88.8,5.0,,1,0,0,1,0
767,Chevrolet Cruze LTZ,Jaipur,2017,51087,First,17.9,1998.0,163.7,5.0,,1,0,0,0,1
768,Mahindra Scorpio 2.6 DX,Chennai,2005,50000,First,12.7,2609.0,116.6,8.0,,1,0,0,0,1
769,Tata Indica V2 eLS,Hyderabad,2016,73000,First,25.0,1396.0,88.8,5.0,,1,0,0,0,1
770,Chevrolet Cruze LTZ AT,Ahmedabad,2011,60000,First,18.1,1991.0,147.9,4.0,,1,0,0,1,0
771,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2016,50000,First,12.8,2494.0,88.8,8.0,,1,0,0,0,1
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,First,19.27,2143.0,167.62,5.0,,1,0,0,1,0
773,Maruti Ritz VXi,Kolkata,2011,50000,Second,18.5,1197.0,85.8,5.0,,0,0,1,0,1
774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,2013,94000,First,12.8,2494.0,88.8,8.0,,1,0,0,0,1
775,Toyota Fortuner 4x4 MT,Bangalore,2013,74000,Second,12.55,2982.0,168.5,7.0,,1,0,0,0,1
776,Hyundai i10 Sportz AT,Coimbatore,2014,41016,Second,16.95,1197.0,78.9,5.0,,0,0,1,1,0
777,Hyundai Verna 1.6 SX,Bangalore,2012,67000,First,22.32,1582.0,126.32,5.0,,1,0,0,0,1
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,First,15.73,1968.0,174.33,5.0,,1,0,0,1,0
779,Chevrolet Beat LS,Kolkata,2010,17088,First,18.6,1199.0,79.4,5.0,,0,0,1,0,1
780,Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Second,17.8,1399.0,88.8,5.0,,1,0,0,0,1
781,Ford Figo Diesel EXI,Coimbatore,2014,74980,First,20.0,1399.0,88.8,5.0,,1,0,0,0,1
782,Maruti Celerio VXI AT,Hyderabad,2014,44600,First,23.1,998.0,67.04,5.0,,0,0,1,1,0
783,Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,First,20.0,2143.0,107.3,5.0,,1,0,0,1,0
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,15.8,1591.0,121.3,5.0,13.74,0,0,1,0,1
785,Maruti Wagon R VXI BS IV,Bangalore,2010,81245,First,18.9,998.0,67.1,5.0,,0,0,1,0,1
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,First,10.0,2148.0,88.8,5.0,,1,0,0,1,0
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,First,18.88,1499.0,110.4,5.0,,0,0,1,0,1
788,Renault Koleos 2.0 Diesel,Delhi,2013,70000,Second,13.73,1995.0,88.8,5.0,,1,0,0,1,0
789,Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,First,16.0,2179.0,88.8,7.0,,1,0,0,0,1
790,Maruti Omni E 8 Str STD,Hyderabad,2013,26875,First,16.8,796.0,34.2,8.0,,0,0,1,0,1
791,Maruti Wagon R VXI,Coimbatore,2015,72599,First,22.5,998.0,67.04,5.0,5.72,0,0,1,0,1
792,Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Second,13.1,2499.0,88.8,7.0,,1,0,0,0,1
793,Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Second,22.32,1582.0,126.32,5.0,,1,0,0,0,1
794,Hyundai i20 Magna 1.2,Mumbai,2018,19500,First,18.6,1197.0,81.83,5.0,,0,0,1,0,1
795,Maruti Ertiga ZXI,Bangalore,2013,68000,Second,16.02,1373.0,93.7,7.0,,0,0,1,0,1
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,14.0,2179.0,88.8,7.0,21.33,1,0,0,1,0
797,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,First,23.65,1248.0,88.5,5.0,,1,0,0,0,1
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,First,18.1,3498.0,88.8,2.0,,0,0,1,1,0
799,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,First,22.07,1199.0,73.9,5.0,,1,0,0,0,1
800,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,First,12.55,2982.0,168.5,7.0,,1,0,0,0,1
801,Mahindra XUV500 W10 2WD,Kochi,2017,43773,First,16.0,2179.0,88.8,7.0,,1,0,0,0,1
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143.0,201.15,5.0,78.76,1,0,0,1,0
803,Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,First,18.7,1199.0,88.7,5.0,,0,0,1,0,1
804,Maruti Swift Dzire VDI,Pune,2013,88000,First,23.4,1248.0,88.8,5.0,,1,0,0,0,1
805,Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,First,17.01,1591.0,121.3,5.0,,0,0,1,0,1
806,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,First,10.91,3198.0,88.8,7.0,,1,0,0,1,0
807,Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,First,18.6,1197.0,81.83,5.0,,0,0,1,0,1
808,Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,First,16.8,1497.0,116.3,5.0,,0,0,1,0,1
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,27.4,1498.0,98.6,5.0,10.34,1,0,0,0,1
810,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,First,17.1,1591.0,121.3,5.0,,0,0,1,0,1
811,Honda Mobilio S i DTEC,Chennai,2015,65000,First,24.2,1498.0,98.6,7.0,,1,0,0,0,1
812,Maruti Ertiga ZDI,Kochi,2013,39929,First,20.77,1248.0,88.8,7.0,,1,0,0,0,1
813,Maruti Alto K10 LXI,Pune,2014,49000,First,24.07,998.0,67.1,5.0,4.29,0,0,1,0,1
814,Toyota Qualis FS B2,Pune,2004,77757,Second,13.1,2446.0,88.8,10.0,,1,0,0,0,1
815,Hyundai i10 Sportz,Kochi,2016,21456,First,20.36,1197.0,78.9,5.0,,0,0,1,0,1
816,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Second,17.0,1896.0,88.8,5.0,,1,0,0,1,0
817,Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Second,18.6,1197.0,81.83,5.0,,0,0,1,0,1
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,First,11.5,2993.0,88.8,5.0,,1,0,0,1,0
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,First,22.69,1995.0,88.8,5.0,,1,0,0,1,0
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,First,14.49,1399.0,92.7,5.0,,0,0,1,0,1
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Second,14.21,2143.0,88.8,5.0,,1,0,0,1,0
822,Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,First,17.68,1968.0,174.33,5.0,,1,0,0,1,0
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,First,20.51,998.0,67.04,5.0,,0,0,1,0,1
824,Renault KWID RXT,Jaipur,2016,4152,First,25.17,799.0,53.3,5.0,,0,0,1,0,1
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66,1498.0,108.62,5.0,10.04,1,0,0,0,1
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,First,22.07,1199.0,73.9,5.0,,1,0,0,0,1
827,Maruti Alto 800 LXI,Hyderabad,2014,58500,First,22.74,796.0,47.3,5.0,,0,0,1,0,1
828,Hyundai i20 Asta Option 1.2,Kochi,2017,58620,First,18.6,1197.0,81.83,5.0,,0,0,1,0,1
830,Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Third,17.0,1197.0,88.8,5.0,,0,0,1,0,1
831,Hyundai i20 1.4 Asta,Chennai,2017,12000,First,22.54,1396.0,88.73,5.0,,1,0,0,0,1
832,Maruti Wagon R LXI Optional,Kolkata,2014,25000,First,20.51,998.0,67.04,5.0,,0,0,1,0,1
833,Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Second,22.54,1396.0,88.73,5.0,,1,0,0,0,1
834,Volkswagen Polo GT TSI,Mumbai,2015,57022,First,17.21,1197.0,103.6,5.0,,0,0,1,1,0
835,Ford Figo Diesel Titanium,Pune,2015,92000,First,20.0,1399.0,68.05,5.0,,1,0,0,0,1
836,Maruti Swift ZXI,Coimbatore,2014,33372,Second,18.6,1197.0,85.8,5.0,,0,0,1,0,1
837,Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,First,24.0,1120.0,88.8,5.0,,1,0,0,0,1
838,Mahindra Xylo H4,Chennai,2016,215000,First,14.02,2179.0,118.3,7.0,11.67,1,0,0,0,1
840,Hyundai i10 Magna 1.1,Coimbatore,2014,60138,First,19.81,1086.0,68.05,5.0,,0,0,1,0,1
841,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,First,19.3,1968.0,88.8,5.0,,1,0,0,1,0
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,First,15.97,2993.0,88.8,7.0,,1,0,0,1,0
843,Maruti Celerio VXI AT,Hyderabad,2014,33450,First,23.1,998.0,67.04,5.0,,0,0,1,1,0
844,Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Second,20.54,1598.0,103.6,5.0,,1,0,0,0,1
845,BMW 3 Series 320d Highline,Pune,2011,99606,Second,16.07,1995.0,88.8,5.0,,1,0,0,1,0
846,Maruti Ertiga ZDI,Mumbai,2014,64000,First,20.77,1248.0,88.8,7.0,,1,0,0,0,1
847,Ford Figo Diesel ZXI,Hyderabad,2013,51000,First,20.0,1399.0,68.05,5.0,,1,0,0,0,1
848,Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,First,16.47,1198.0,88.8,5.0,,0,0,1,0,1
849,Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Second,16.77,2967.0,241.38,5.0,,1,0,0,1,0
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68,2393.0,147.8,7.0,25.52,1,0,0,0,1
851,Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,First,22.32,1582.0,126.3,5.0,,1,0,0,1,0
852,Hyundai Santro Xing GL Plus,Kolkata,2013,31000,First,17.92,1086.0,62.1,5.0,,0,0,1,0,1
853,Audi A4 2.0 TDI,Delhi,2011,46000,Second,16.55,1968.0,147.51,5.0,,1,0,0,1,0
854,Audi A4 2.0 TDI,Kolkata,2012,47346,First,16.55,1968.0,147.51,5.0,,1,0,0,1,0
855,Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,First,17.0,1896.0,88.8,5.0,,1,0,0,0,1
856,Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,First,13.7,1997.0,153.86,5.0,,0,0,1,1,0
857,Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,First,22.32,1582.0,126.32,5.0,,1,0,0,0,1
858,Honda Mobilio RS i DTEC,Chennai,2014,23000,First,24.5,1498.0,98.6,7.0,,1,0,0,0,1
859,Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,First,18.6,1197.0,81.83,5.0,,0,0,1,0,1
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Second,12.8,2494.0,88.8,8.0,,1,0,0,0,1
861,Hyundai i20 Magna 1.2,Hyderabad,2014,70089,First,18.6,1197.0,81.83,5.0,,0,0,1,0,1
862,Mahindra Bolero VLX BS IV,Chennai,2011,99000,Second,13.6,2523.0,88.8,7.0,,1,0,0,0,1
863,Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,First,20.34,1498.0,103.2,5.0,,1,0,0,0,1
864,Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,First,16.36,2179.0,187.7,5.0,,1,0,0,1,0
865,Maruti Zen LXi - BS III,Mumbai,2005,102000,First,17.3,993.0,88.8,5.0,,0,0,1,0,1
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,First,13.0,2987.0,88.8,5.0,,1,0,0,1,0
867,Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Second,11.5,2982.0,88.8,7.0,,1,0,0,0,1
868,Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,First,18.9,1197.0,88.8,5.0,,0,0,1,1,0
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,25.4,1186.0,73.97,5.0,8.56,1,0,0,0,1
870,Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,First,15.29,1591.0,121.3,5.0,,0,0,1,0,1
871,Hyundai i10 Sportz,Bangalore,2010,69000,First,20.36,1197.0,78.9,5.0,,0,0,1,0,1
872,Honda Brio S MT,Delhi,2016,32700,First,19.4,1198.0,86.8,5.0,,0,0,1,0,1
873,Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,First,12.55,2982.0,168.5,7.0,,1,0,0,1,0
874,Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,First,16.55,1968.0,88.8,5.0,,1,0,0,1,0
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36,2755.0,171.5,7.0,,1,0,0,1,0
876,Honda City i DTEC VX,Jaipur,2014,71649,First,25.1,1498.0,98.6,5.0,,1,0,0,0,1
877,Honda City i DTEC VX,Kochi,2015,80606,First,25.1,1498.0,98.6,5.0,,1,0,0,0,1
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,21.7,999.0,88.8,5.0,4.78,0,0,1,0,1
879,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,First,28.4,1248.0,88.8,5.0,,1,0,0,0,1
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,23.1,998.0,67.04,5.0,6.14,0,0,1,1,0
881,Mahindra XUV500 W8 2WD,Delhi,2011,66000,First,15.1,2179.0,88.8,7.0,,1,0,0,0,1
882,Hyundai i10 Magna,Jaipur,2010,66770,Second,20.36,1197.0,78.9,5.0,,0,0,1,0,1
883,Hyundai i10 Magna 1.1,Kochi,2014,58472,First,19.81,1086.0,68.05,5.0,,0,0,1,0,1
884,Maruti Dzire VXI,Kolkata,2011,46687,First,22.0,1197.0,81.8,5.0,7.3,0,0,1,0,1
885,Maruti Grand Vitara AT,Chennai,2008,77000,Fourth & Above,9.7,1995.0,163.5,5.0,,0,0,1,1,0
886,Audi TT 40 TFSI,Kolkata,2012,7000,First,14.33,1984.0,226.6,4.0,,0,0,1,1,0
887,Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Second,14.74,1991.0,88.8,5.0,,0,0,1,1,0
888,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,First,21.64,1461.0,84.8,5.0,,1,0,0,0,1
889,Maruti Wagon R LXI,Ahmedabad,2015,51530,First,18.9,998.0,67.1,5.0,,0,0,1,0,1
890,Maruti Swift Dzire ZDI,Bangalore,2014,25789,Second,23.4,1248.0,88.8,5.0,,1,0,0,0,1
891,Honda Amaze S i-Dtech,Delhi,2015,48000,First,25.8,1498.0,98.6,5.0,,1,0,0,0,1
892,Maruti Swift ZDI,Delhi,2012,52000,First,28.4,1248.0,88.8,5.0,,1,0,0,0,1
894,Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,First,10.5,2609.0,88.8,7.0,,1,0,0,0,1
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,First,13.0,2143.0,201.1,5.0,,1,0,0,1,0
896,Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Second,13.0,2982.0,168.5,7.0,,1,0,0,0,1
897,Datsun redi-GO T Option,Bangalore,2016,20487,First,22.7,799.0,53.64,5.0,4.37,0,0,1,0,1
898,Honda City V MT,Delhi,2010,43000,Second,16.8,1497.0,116.3,5.0,,0,0,1,0,1
899,Toyota Camry Hybrid,Pune,2018,17000,First,19.16,2494.0,158.2,5.0,,0,0,1,1,0
900,Honda City i DTec V,Coimbatore,2016,60805,First,26.0,1498.0,98.6,5.0,,1,0,0,0,1
901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,First,19.33,1968.0,138.1,5.0,,1,0,0,0,1
902,Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,First,17.68,1968.0,174.33,5.0,,1,0,0,1,0
903,Maruti Ertiga VDI,Coimbatore,2016,85827,First,20.77,1248.0,88.76,7.0,,1,0,0,0,1
904,Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,First,19.27,2143.0,167.62,5.0,,1,0,0,1,0
905,Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Second,19.3,1248.0,73.9,5.0,,1,0,0,0,1
